Id,Department__c,Category__c,Sub_Category__c,Type__c,Quantity__c,Unit_Price__c
a00P0000006KXnPIAW,Support,Tier 2,Cat1,TypeB,9,2.82
a00P0000006KXnQIAW,Development,Quality Assurance,Cat1,TypeA,3,39.29
a00P0000006KXnRIAW,Development,Quality Assurance,Cat2,TypeA,1,97.03
a00P0000006KXnSIAW,Development,Coding,Cat1,TypeC,9,28.35
a00P0000006KXnTIAW,Sales,Sales Engineering,Cat2,TypeB,8,95.96
a00P0000006KXnUIAW,Operations,Human Resources,Cat1,TypeC,8,38.74
a00P0000006KXnVIAW,Marketing,ABM,Cat3,TypeA,9,56.1
a00P0000006KXnWIAW,Operations,Human Resources,Cat3,TypeC,3,35.5
a00P0000006KXnXIAW,Development,Coding,Cat2,TypeB,6,8.53
a00P0000006KXnYIAW,Marketing,ABM,Cat3,TypeA,9,68.69
a00P0000006KXnZIAW,Development,Coding,Cat2,TypeC,1,17.34
a00P0000006KXnaIAG,Sales,Sales Engineering,Cat3,TypeB,10,6.33
a00P0000006KXnbIAG,Development,Quality Assurance,Cat1,TypeB,6,82.04
a00P0000006KXncIAG,Operations,Human Resources,Cat2,TypeB,1,80.9
a00P0000006KXndIAG,Support,Tier 3,Cat2,TypeA,1,18.94
a00P0000006KXneIAG,Development,Quality Assurance,Cat2,TypeC,7,19.17
a00P0000006KXnfIAG,Operations,Human Resources,Cat1,TypeB,9,93.74
a00P0000006KXngIAG,Development,Quality Assurance,Cat3,TypeC,3,38.98
a00P0000006KXnhIAG,Operations,Human Resources,Cat3,TypeB,9,78.35
a00P0000006KXniIAG,Support,Tier 2,Cat2,TypeC,5,11.48
a00P0000006KXnjIAG,Operations,Performance Management,Cat2,TypeA,2,79
a00P0000006KXnkIAG,Marketing,ABM,Cat2,TypeA,6,23.33
a00P0000006KXnlIAG,Marketing,ABM,Cat1,TypeC,8,96.19
a00P0000006KXnmIAG,Support,Tier 3,Cat2,TypeC,9,57.54
a00P0000006KXnnIAG,Sales,Sales Engineering,Cat2,TypeC,7,42.3
a00P0000006KXnoIAG,Operations,Human Resources,Cat2,TypeB,6,24.58
a00P0000006KXnpIAG,Support,Tier 3,Cat3,TypeA,8,4.55
a00P0000006KXnqIAG,Support,Tier 1,Cat3,TypeA,2,99.28
a00P0000006KXnrIAG,Sales,Sales Engineering,Cat3,TypeB,9,53.4
a00P0000006KXnsIAG,Sales,Pre Sales,Cat2,TypeB,5,74.09
a00P0000006KXntIAG,Operations,Human Resources,Cat1,TypeC,1,3.48
a00P0000006KXnuIAG,Operations,Human Resources,Cat1,TypeB,2,71.14
a00P0000006KXnvIAG,Operations,Human Resources,Cat1,TypeC,7,96.37
a00P0000006KXnwIAG,Development,Quality Assurance,Cat3,TypeA,9,56.43
a00P0000006KXnxIAG,Support,Tier 2,Cat1,TypeA,9,20.73
a00P0000006KXnyIAG,Sales,Pre Sales,Cat3,TypeC,5,75.1
a00P0000006KXnzIAG,Sales,Sales Engineering,Cat3,TypeB,6,35.05
a00P0000006KXo0IAG,Support,Tier 2,Cat1,TypeB,1,61.02
a00P0000006KXo1IAG,Marketing,ABM,Cat2,TypeA,4,35.44
a00P0000006KXo2IAG,Support,Tier 3,Cat3,TypeB,7,24.97
a00P0000006KXo3IAG,Operations,Human Resources,Cat3,TypeC,3,73.39
a00P0000006KXo4IAG,Operations,Human Resources,Cat3,TypeB,6,32.69
a00P0000006KXo5IAG,Marketing,ABM,Cat3,TypeA,9,90.54
a00P0000006KXo6IAG,Marketing,ABM,Cat2,TypeC,3,12.23
a00P0000006KXo7IAG,Marketing,ABM,Cat1,TypeC,6,44.32
a00P0000006KXo8IAG,Marketing,ABM,Cat2,TypeB,3,91.32
a00P0000006KXo9IAG,Support,Tier 3,Cat3,TypeA,10,77.92
a00P0000006KXoAIAW,Operations,Human Resources,Cat3,TypeA,8,28.54
a00P0000006KXoBIAW,Sales,Pre Sales,Cat2,TypeA,7,43.76
a00P0000006KXoCIAW,Support,Tier 2,Cat2,TypeA,2,66.8
a00P0000006KXoDIAW,Operations,Human Resources,Cat2,TypeA,6,73.59
a00P0000006KXoEIAW,Sales,Sales Engineering,Cat3,TypeB,10,35.61
a00P0000006KXoFIAW,Development,Coding,Cat2,TypeB,9,94.46
a00P0000006KXoGIAW,Sales,Pre Sales,Cat3,TypeB,2,48.93
a00P0000006KXoHIAW,Sales,Pre Sales,Cat1,TypeB,8,38.98
a00P0000006KXoIIAW,Development,Coding,Cat3,TypeA,5,32.49
a00P0000006KXoJIAW,Marketing,ABM,Cat3,TypeC,9,48.99
a00P0000006KXoKIAW,Marketing,ABM,Cat3,TypeB,3,42.65
a00P0000006KXoLIAW,Marketing,ABM,Cat2,TypeA,5,44.85
a00P0000006KXoMIAW,Support,Tier 2,Cat1,TypeC,7,37.47
a00P0000006KXoNIAW,Development,Coding,Cat2,TypeB,4,18.44
a00P0000006KXoOIAW,Marketing,ABM,Cat1,TypeB,3,4.09
a00P0000006KXoPIAW,Development,Coding,Cat3,TypeC,10,78.69
a00P0000006KXoQIAW,Development,Coding,Cat2,TypeB,7,75.86
a00P0000006KXoRIAW,Operations,Performance Management,Cat3,TypeA,2,90.82
a00P0000006KXoSIAW,Support,Tier 1,Cat2,TypeB,2,17.22
a00P0000006KXoTIAW,Support,Tier 2,Cat3,TypeC,1,81.01
a00P0000006KXoUIAW,Operations,Performance Management,Cat1,TypeC,9,63.15
a00P0000006KXoVIAW,Marketing,ABM,Cat2,TypeC,4,80.58
a00P0000006KXoWIAW,Sales,Pre Sales,Cat3,TypeC,9,37.9
a00P0000006KXoXIAW,Operations,Performance Management,Cat2,TypeA,9,4.43
a00P0000006KXoYIAW,Operations,Human Resources,Cat3,TypeB,7,27.07
a00P0000006KXoZIAW,Support,Tier 3,Cat1,TypeA,8,54.34
